country,capital,lat,long,population
Qatar,Doha,25.27932,51.52245,2235000
Lesotho,Maseru,-29.31667,27.48333,2135000
Slovenia,Ljubljana,46.05108,14.50513,2064000
Latvia,Riga,56.946,24.10589,1978000
Guinea-Bissau,Bissau,11.86357,-15.59767,1844000
Kosovo,Pristina,42.67272,21.16688,1797000
Gabon,Libreville,0.39241,9.45356,1725000
Bahrain,Manama,26.21536,50.5832,1377000
Trinidad and Tobago,Port-of-Spain,10.66668,-61.51889,1360000
Estonia,Tallinn,59.43696,24.75353,1312000
Swaziland,Mbabane,-26.31667,31.13333,1287000
Mauritius,Port Louis,-20.16194,57.49889,1263000
Timor-Leste,Dili,-8.55861,125.57361,1245000
Cyprus,Nicosia,35.17531,33.3642,1165000
Fiji,Suva,-18.14161,178.44149,892000
Djibouti,Djibouti,11.58901,43.14503,888000
Equatorial Guinea,Malabo,3.75,8.78333,845000
Comoros,Moroni,-11.70216,43.25506,788000
Bhutan,Thimphu,27.46609,89.64191,775000
Guyana,Georgetown,6.80448,-58.15527,767000
Montenegro,Podgorica,42.44111,19.26361,622000
Solomon Islands,Honiara,-9.43333,159.95,584000
Luxembourg,Luxembourg,49.61167,6.13,570000
Suriname,Paramaribo,5.86638,-55.16682,543000
Malta,Valletta,35.89972,14.51472,431000
Maldives,Male,4.1748,73.50888,409000
Belize,Belmopan,17.25,-88.76667,359000
Iceland,Reykjavík,64.13548,-21.89541,331000
Barbados,Bridgetown,13.1,-59.61667,284000
French Polynesia,Papeete,-17.53733,-149.5665,283000
New Caledonia,Nouméa,-22.27631,166.4572,273000
Vanuatu,Port-Vila,-17.73381,168.32188,265000
Samoa,Apia,-13.83333,-171.76666,193000
Sao Tome and Principe,São Tomé,0.33654,6.72732,190000
Guam,Hagåtña,13.47567,144.74886,170000
Kiribati,Tarawa,1.3278,172.97696,112000
Grenada,Saint George's,12.05644,-61.74849,107000
Tonga,Nuku‘alofa,-21.13938,-175.2018,106000
Aruba,Oranjestad,12.52398,-70.02703,104000
Seychelles,Victoria,-4.61667,55.45,93000
Antigua and Barbuda,Saint John’s,17.11717,-61.84573,92000
Isle of Man,Douglas,54.15,-4.48333,88000
Dominica,Roseau,15.30174,-61.38808,73000
Andorra,Andorra la Vella,42.50779,1.52109,70000
Bermuda,Hamilton,32.2949,-64.78303,65000
Cayman Islands,George Town,19.2866,-81.37436,60000
American Samoa,Pago Pago,-14.27806,-170.7025,56000
Greenland,Nuuk,64.18347,-51.72157,56000
Northern Mariana Islands,Saipan,15.21233,145.7545,55000
Marshall Islands,Majuro,7.08971,171.38027,53000
Faroe Islands,Tórshavn,62.00973,-6.77164,48000
Liechtenstein,Vaduz,47.14151,9.52154,38000
Monaco,Monaco,43.73333,7.41667,38000
Turks and Caicos Islands,Cockburn Town,21.46122,-71.14188,34000
San Marino,San Marino,43.93667,12.44639,32000
Gibraltar,Gibraltar,36.14474,-5.35257,32000
British Virgin Islands,Road Town,18.42693,-64.62079,30000
Nauru,Yaren,-0.55085,166.9252,10000
Tuvalu,Funafuti,-8.52425,179.19417,10000
Eritrea,Asmara,15.33805,38.93184,0
